Year,Origin,Dest,Distance,Flights_Count,DepDelay_Sum,ArrDelay_Sum
1990,ABQ,AMA,277,961,346,314
1990,ABQ,IAH,744,780,42,77
1990,ABQ,ONT,631,1,0,0
1990,ABQ,ORD,1118,1269,108,131
1990,ABQ,SFO,896,955,284,272
1990,ABQ,TUS,321,720,138,128
1990,AGS,ATL,143,2068,338,578
1990,AGS,CLT,140,716,152,241
1990,ALB,RDU,544,1043,63,85
1990,AMA,ABQ,277,930,223,155
1990,AMA,DAL,NA,373,62,58
1990,AMA,MAF,228,1,1,1
1990,ATL,AGS,143,2398,617,877
1990,ATL,AVP,714,345,22,43
1990,ATL,BDL,859,2584,359,495
1990,ATL,IAD,533,2865,405,574
1990,ATL,IND,432,2807,429,620
1990,ATL,JFK,760,694,140,198
1990,ATL,MOB,302,3082,622,888
1990,ATL,SAN,1891,351,13,15
1990,ATL,STT,1599,297,22,19
1990,ATL,TYS,152,2801,603,902
1990,AUS,ELP,528,1463,187,220
1990,AUS,HRL,273,302,36,51
1990,AUS,MSY,445,263,10,26
1990,AVP,ATL,714,1,1,0
1990,AVP,ELM,83,120,10,9
1990,BDL,ATL,859,2602,240,364
1990,BDL,BUF,317,626,85,105
1990,BDL,CLT,644,951,86,110
1990,BDL,DCA,313,2010,260,276
1990,BDL,FLL,1173,360,7,15
1990,BDL,IAH,1507,111,5,5
1990,BDL,JFK,106,285,90,123
1990,BFL,DFW,1271,592,52,62
1990,BHM,CVG,396,359,17,55
1990,BHM,DFW,597,1506,145,260
1990,BHM,HOU,570,1,0,0
1990,BHM,SDF,323,552,55,96
1990,BNA,LAX,1797,786,25,43
1990,BNA,MSP,695,700,40,59
1990,BNA,PHL,675,1562,151,230
1990,BNA,PHX,1448,711,22,49
1990,BNA,PIT,462,1157,74,153
1990,BNA,SAN,1751,255,4,13
1990,BNA,SDF,151,348,59,107
1990,BOI,ORD,1437,627,44,55
1990,BOS,BWI,370,2542,518,608
1990,BOS,CLT,728,2477,411,497
1990,BOS,CVG,752,1420,139,197
1990,BOS,DTW,632,2298,333,377
1990,BOS,LAX,2611,2049,100,120
1990,BOS,RSW,1249,160,18,21
1990,BTR,DFW,383,2226,388,659
1990,BTR,DFW,NA,445,117,157
1990,BTV,PHL,336,716,94,164
1990,BTV,PIT,454,1066,137,234
1990,BUF,BDL,317,609,61,89
1990,BUF,DTW,240,1468,102,155
1990,BUF,LGA,292,2725,492,789
1990,BUR,PDX,817,710,19,54
1990,BWI,BOS,370,2590,542,631
1990,BWI,DCA,30,176,33,43
1990,BWI,EWR,169,1721,334,587
1990,BWI,LGA,185,1749,370,634
1990,BWI,MCO,787,2556,241,364
1990,BWI,MDT,70,145,27,45
1990,BWI,PHL,90,3,1,1
1990,BWI,PHX,1999,1409,81,90
1990,CAK,DAY,162,1082,86,133
1990,CHA,JAN,338,1,0,0
1990,CHA,MEM,271,687,28,46
1990,CHS,EWR,628,23,1,1
1990,CHS,JAX,193,307,61,60
1990,CHS,SAV,86,964,233,260
1990,CID,STL,228,1624,210,353
1990,CLE,DEN,1201,2297,183,326
1990,CLE,EWR,404,3095,680,1092
1990,CLE,ORF,435,634,66,99
1990,CLE,TPA,927,808,89,161
1990,CLT,AGS,140,705,139,245
1990,CLT,BDL,644,955,115,201
1990,CLT,BOS,728,2476,299,432
1990,CLT,DEN,1337,982,66,96
1990,CLT,EWR,529,2836,551,880
1990,CLT,FAY,118,2071,462,508
1990,CLT,GSO,83,2932,678,835
1990,CLT,GSP,75,1778,509,586
1990,CLT,JFK,541,360,101,117
1990,CLT,PIT,366,2216,395,725
1990,CLT,PVD,683,288,12,24
1990,CMH,DCA,322,1160,117,206
1990,CMH,LGA,478,1557,199,405
1990,CMH,STL,410,1697,178,340
1990,COS,STL,774,1066,88,106
1990,CRP,DFW,NA,288,48,67
1990,CRP,IAH,201,1697,115,403
1990,CRW,LGA,444,188,23,33
1990,CVG,BHM,396,346,81,121
1990,CVG,BOS,752,1412,160,274
1990,CVG,FLL,932,1008,58,102
1990,CVG,GSO,330,667,84,272
1990,CVG,HOU,886,1048,110,220
1990,CVG,JAX,614,352,43,78
1990,CVG,MCI,539,1136,100,188
1990,CVG,SAN,1865,357,4,12
1990,CVG,SHV,686,1,1,0
1990,DAB,EWR,884,756,118,210
1990,DAB,MLB,78,810,210,204
1990,DAL,AMA,NA,357,59,62
1990,DAL,IAH,NA,304,57,74
1990,DAL,MAF,NA,353,71,64
1990,DAY,CAK,162,1068,339,318
1990,DAY,EVV,220,1072,224,149
1990,DAY,GRR,217,1172,313,289
1990,DAY,PIT,215,1415,275,393
1990,DAY,SBN,166,1182,300,262
1990,DCA,BDL,313,2062,380,547
1990,DCA,BWI,30,163,41,43
1990,DCA,CMH,322,1169,293,320
1990,DCA,DFW,NA,569,40,67
1990,DCA,MSP,931,2110,156,227
1990,DEN,CLE,1201,2278,209,318
1990,DEN,CLT,1337,986,94,109
1990,DEN,DFW,NA,1296,221,327
1990,ABE,BWI,121,1018,106,263
1990,ABE,DTW,424,1003,58,86
1990,ABE,MDT,77,228,43,67
1990,ABQ,DFW,NA,669,113,159
1990,ABQ,LBB,289,689,212,222
1990,ABQ,MKC,720,1,1,0
1990,ALB,BWI,288,1402,283,567
1990,ALB,PVD,141,1,1,1
1990,ATL,EWR,745,5808,1051,1365
1990,ATL,LGA,761,6257,1218,1586
1990,ATL,LIT,453,1065,189,255
1990,ATL,ONT,1900,353,31,37
1990,ATL,ORD,606,9437,1652,2267
1990,ATL,SDF,321,3461,719,1113
1990,ATL,SRQ,445,3330,535,770
1990,AUS,DAL,NA,605,122,90
1990,BDL,DFW,1471,881,45,72
1990,BDL,DFW,NA,165,12,17
1990,BFL,DFW,NA,117,18,26
1990,BFL,SFO,238,1,1,1
1990,BGR,BTV,214,156,24,27
1990,BGR,EWR,393,66,27,57
1990,BNA,CHA,112,1011,179,228
1990,BNA,HOU,670,1258,265,247
1990,BNA,IND,249,440,89,110
1990,BNA,JAN,327,1030,96,127
1990,BNA,MSY,471,1034,116,175
1990,BOI,LAS,520,707,67,103
1990,BOS,CLE,563,2980,409,674
1990,BOS,FLL,1237,1017,114,141
1990,BOS,LAS,2381,273,17,17
1990,BOS,MEM,1139,700,98,103
1990,BOS,PBI,1197,696,70,109
1990,BOS,RDU,612,1060,103,132
1990,BOS,RIC,474,384,93,116
1990,BOS,TPA,1185,1250,85,116
1990,BTR,JAN,138,272,36,48
1990,BTV,BGR,214,146,82,83
1990,BTV,EWR,266,1330,219,431
1990,BUF,JFK,301,356,92,175
1990,BUR,DFW,1231,860,52,90
1990,BUR,LGB,29,390,50,136
1990,BUR,ONT,44,353,77,68
1990,BWI,ABE,121,1010,210,205
1990,BWI,ALB,288,1353,202,336
1990,BWI,CHS,472,362,45,69
1990,BWI,CVG,430,715,79,114
1990,BWI,DAY,406,577,70,81
1990,BWI,DEN,1491,1066,73,108
1990,BWI,MIA,946,1065,124,212
1990,BWI,MSY,998,362,29,52
1990,BWI,ROA,221,729,83,145
1990,BWI,UCA,282,696,88,117
1990,BZN,MSO,161,686,249,238
1990,BZN,MSP,874,20,2,2
1990,CAE,CHS,95,776,237,269
1990,CAE,MYR,127,1,1,0
1990,CAK,BWI,280,1,0,0
1990,CDV,YAK,213,333,47,70
1990,CHA,BNA,112,1039,52,138
1990,CHA,CLT,242,817,51,88
1990,CHS,BWI,472,363,36,65
1990,CHS,CAE,95,770,163,218
1990,CHS,DFW,987,410,45,56
1990,CHS,RDU,217,1043,28,138
1990,CID,PIA,135,4,0,0
1990,CLE,BOS,563,2923,596,937
1990,CLE,DTW,95,1948,261,480
1990,CLE,FWA,177,1,0,0
1990,CLE,MKE,328,1181,154,166
1990,CLE,ROC,245,416,97,128
1990,CLE,SEA,2021,138,9,11
1990,CLT,CHA,242,801,106,137
1990,CLT,MCO,468,2175,524,876
1990,CLT,RIC,256,2449,413,527
1990,CLT,ROA,155,2144,439,640
1990,CLT,SDF,336,1386,167,228
1990,CLT,SEA,2279,373,19,35
1990,CLT,TRI,120,1645,266,425
1990,CMH,CVG,116,2149,336,704
1990,CMH,DFW,927,783,44,82
1990,COS,DEN,72,3353,689,1248
1990,COS,DFW,NA,281,31,53
1990,COS,ICT,404,353,94,113
1990,CVG,BWI,430,1069,116,183
1990,CVG,CMH,116,1785,534,583
1990,CVG,DFW,NA,341,40,76
1990,CVG,DTW,229,2713,376,805
1990,CVG,MKE,318,708,63,70
1990,CVG,MSY,700,1080,66,167
1990,CVG,RIC,413,1017,128,204
1990,CVG,STL,307,2134,235,472
1990,DAL,AUS,NA,587,118,153
1990,DAL,HOU,NA,1562,431,441
1990,DAL,IAH,217,1511,478,570
1990,DAL,OKC,NA,392,113,116
1990,DAY,BWI,406,594,82,94
1990,DCA,ICT,1110,362,6,3
1990,DCA,IND,499,1374,207,223
1990,DCA,PIT,205,2147,383,595
1990,DCA,PVD,357,1335,216,311
1990,DCA,ROC,296,1006,115,169
1990,DEN,BWI,1491,1055,86,101
1990,DEN,COS,72,3049,763,1197
1990,DEN,DFW,641,6119,745,1344
1990,DEN,FSD,483,704,141,180
1990,DEN,IAD,1452,2537,250,315
1990,DEN,ICT,419,2055,322,479
1990,DEN,MCO,1545,1311,131,180
1990,DFW,ABQ,NA,648,144,171
1990,DFW,BDL,1471,828,60,97
1990,DFW,BDL,NA,165,22,26
1990,DFW,BFL,NA,56,12,10
1990,DFW,BUR,1231,809,65,139
1990,DFW,CHS,987,394,30,58
1990,DFW,CMH,927,737,69,110
1990,DFW,COS,NA,269,52,55
1990,DFW,CVG,NA,389,74,66
1990,DFW,DEN,641,6139,809,1352
1990,DFW,FLL,NA,329,37,56
1990,DFW,HNL,3784,1063,26,39
1990,DFW,IAH,224,7789,1444,2415
1990,DFW,JFK,1391,863,99,148
1990,DFW,LAX,NA,892,125,148
1990,DFW,LGA,1389,3554,345,622
1990,DFW,LGB,1220,1609,124,224
1990,ABE,ATL,692,1060,126,157
1990,ABQ,ELP,223,2330,762,704
